"id","created_at","updated_at","deleted_at","student_id","subject_class_id","is_active","first_ca","second_ca","first_exam","total_first","grade_first","remark_first","s_first_ca","s_second_ca","second_exam","total_second","grade_second","remark_second"
2908,"2020-11-29 21:38:47.919109+01","2020-12-17 12:13:36.989376+01",,107,34,TRUE,,,,,,,10,18,40,68,"B","VERY GOOD"
2925,"2020-11-29 21:38:47.950117+01","2020-12-17 12:13:58.159329+01",,119,37,TRUE,,,,,,,12,10,29,51,"C","GOOD"
2927,"2020-11-29 21:38:47.954016+01","2020-12-17 12:13:58.16241+01",,119,94,TRUE,,,,,,,15,15,30,60,"B","VERY GOOD"
3077,"2020-12-08 17:18:14.413843+01","2020-12-18 11:12:26.502278+01",,11,109,TRUE,,,,,,,10,10,47,67,"B","VERY GOOD"
3076,"2020-12-08 17:18:14.413843+01","2020-12-17 11:37:16.197086+01",,5,109,TRUE,,,,,,,10,10,42,62,"B","VERY GOOD"
3078,"2020-12-08 17:18:14.413843+01","2020-12-17 11:38:59.379282+01",,12,109,TRUE,,,,,,,10,10,33,53,"C","GOOD"
3081,"2020-12-08 17:18:14.413843+01","2020-12-17 11:41:33.082729+01",,127,109,TRUE,,,,,,,10,10,29,49,"D","PASS"
1723,"2020-11-29 21:38:45.956541+01","2020-12-17 11:41:43.278331+01",,92,17,TRUE,,,,,,,8,15,36,59,"C","GOOD"
3503,"2020-12-10 09:33:21.22401+01","2020-12-17 11:50:15.779931+01",,141,99,TRUE,0,0,0,0,"","",11,16,19,46,"D","PASS"
2306,"2020-11-29 21:38:46.920296+01","2020-12-17 11:57:06.227664+01",,174,19,TRUE,,,,,,,6,15,15,36,"F","POOR"
3083,"2020-12-08 17:18:14.413843+01","2020-12-17 11:59:11.084062+01",,7,109,TRUE,,,,,,,,,,,"F","WEAK"
3084,"2020-12-08 17:18:14.413843+01","2020-12-17 11:59:27.076225+01",,8,109,TRUE,,,,,,,,,,,"F","WEAK"
3074,,"2020-12-17 12:01:41.18598+01",,173,103,TRUE,,,,,,,,,,,"F","WEAK"
