"id","created_at","updated_at","deleted_at","student_id","subject_class_id","is_active","first_ca","second_ca","first_exam","total_first","grade_first","remark_first","s_first_ca","s_second_ca","second_exam","total_second","grade_second","remark_second"
3653,"2021-04-01 08:48:59.753361+01",,,134,72,TRUE,,,,,,,,,,,,
1776,"2020-11-29 21:38:46.032267+01","2021-04-17 14:58:13.167115+01",,150,41,TRUE,13,10,53,76,"A","EXCELLENT",10,12,45,67,"B","VERY GOOD"
2706,"2020-11-29 21:38:47.556467+01","2021-04-14 13:49:05.187904+01",,70,22,TRUE,20,13,27,60,"B","VERY GOOD",8,8,22,38,"F","POOR"
3646,"2021-04-01 08:41:03.563201+01","2021-04-14 13:57:55.666869+01",,187,71,TRUE,10,10,14,34,"F","POOR",,,,,"F","WEAK"
3639,"2021-04-01 08:41:03.563201+01","2021-04-14 12:45:08.994109+01",,147,71,TRUE,10,13,19,42,"E","PASS",,,,,,
3652,"2021-04-01 08:48:59.753361+01","2021-05-25 19:08:51.477469+01",,38,72,TRUE,10,5,17,32,"F","POOR",,,,,"F","WEAK"
3560,"2021-03-29 13:53:27.589105+01","2021-04-14 12:50:17.862917+01",,196,104,TRUE,9,12,37,58,"C","GOOD",0,0,0,0,"",""
2759,"2020-11-29 21:38:47.637634+01","2021-04-14 13:05:53.776832+01",,98,16,TRUE,17,19,25,61,"B","VERY GOOD",18,18,48,84,"A","EXCELLENT"
1732,"2020-11-29 21:38:45.971929+01","2021-04-25 09:41:28.334967+01",,128,28,TRUE,8,19,38,65,"B","VERY GOOD",12,18,50,80,"A","EXCELLENT"
2726,"2020-11-29 21:38:47.587021+01","2021-04-14 13:04:44.666843+01",,71,94,TRUE,10,15,36,61,"B","VERY GOOD",15,9,32,56,"C","GOOD"
3624,"2021-04-01 08:41:03.563201+01","2021-04-14 13:12:07.953403+01",,161,71,TRUE,16,15,40,71,"A","EXCELLENT",,,,,,
3557,"2021-03-29 13:39:13.274846+01","2021-04-14 12:28:07.503981+01",,193,98,TRUE,11,11,38,60,"B","VERY GOOD",0,0,0,0,"",""
3635,"2021-04-01 08:41:03.563201+01","2021-04-14 12:46:29.826679+01",,170,71,TRUE,10,15,31,56,"C","GOOD",,,,,,
1818,"2020-11-29 21:38:46.095729+01","2021-04-25 09:43:02.60869+01",,95,59,TRUE,10,19,33,62,"B","VERY GOOD",10,6,40,56,"C","GOOD"
3654,"2021-04-01 08:48:59.753361+01","2021-04-17 14:56:44.737173+01",,33,72,TRUE,5,15,16,36,"F","POOR",,,,,,
2702,"2020-11-29 21:38:47.549602+01","2021-04-14 13:03:58.652712+01",,68,94,TRUE,,,,,"F","WEAK",15,14,42,71,"A","EXCELLENT"
2725,"2020-11-29 21:38:47.585499+01","2021-04-14 13:04:44.663251+01",,71,46,TRUE,12,7,12,31,"F","POOR",10,12,25,47,"D","PASS"
